STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Illinois,Illinois 😷,Bruised Red,44719,234,Green,70,63464,55% ^Normal^,Normal,67% ^Normal^,Normal,152,Bruised Red,116,122,119,120,120,120,117,114,121,122,124,129,122,123,116,-5% ^Decreasing^,Green,3.5,Yellow
Indiana,Indiana 😷,Bruised Red,12508,123,Green,36,34796,64% ^Normal^,Normal,63% ^Normal^,Normal,157,Bruised Red,131,134,126,125,137,128,131,133,135,147,141,131,129,131,131,-2% ^Decreasing^,Green,3.53,Yellow
Iowa,Iowa,Bruised Red,5017,106,Green,17,30384,65% ^Normal^,Normal,63% ^Normal^,Normal,292,Bruised Red,98,90,91,95,95,93,85,82,87,94,99,97,95,100,98,9% ^Increasing^,Red,1.77,Yellow
Kansas,Kansas 😷,Bruised Red,5262,120,Green,27,19762,63% ^Normal^,Normal,61% ^Normal^,Normal,206,Bruised Red,113,79,79,103,103,102,102,102,65,65,90,90,113,113,113,43% ^Increasing^,Red,1.08,Yellow
Kentucky,Kentucky 😷,Red,9483,141,Green,45,21228,78% ^Elevated^,Elevated,65% ^Normal^,Normal,144,Red,128,126,139,143,143,132,132,132,126,133,133,128,128,128,128,1% ^Increasing^,Red,1.94,Yellow
Louisiana,Louisiana 😷,Bruised Red,14987,214,Green,65,23213,66% ^Normal^,Normal,67% ^Normal^,Normal,151,Bruised Red,194,264,259,250,234,226,226,202,202,200,197,188,194,194,194,-26% ^Decreasing^,Green,3.33,Yellow
Maine,Maine 😷,Green,3994,197,Green,197,2025,68% ^Normal^,Normal,69% ^Normal^,Normal,19,Green,5,7,7,7,5,5,3,3,4,6,6,7,7,6,5,-30% ^Decreasing^,Green,2.93,Yellow
Maryland,Maryland 😷,Red,12335,135,Green,71,17391,69% ^Normal^,Normal,80% ^Elevated^,Elevated,87,Red,59,72,75,79,75,75,73,67,67,68,71,68,68,64,59,-18% ^Decreasing^,Green,3.48,Yellow
Massachusetts,Massachusetts 😷,Yellow,24300,232,Green,180,13525,53% ^Normal^,Normal,71% ^Elevated^,Elevated,59,Yellow,42,53,54,53,55,46,45,45,44,47,51,48,45,44,42,-21% ^Decreasing^,Green,7.06,Red
Michigan,Michigan 😷,Red,30189,201,Green,112,26956,75% ^Elevated^,Elevated,75% ^Elevated^,Elevated,82,Red,67,65,65,65,65,65,65,65,64,64,64,67,67,67,67,2% ^Increasing^,Red,6.0,Red
Minnesota,Minnesota,Red,8822,104,Green,33,26424,72% ^Elevated^,Elevated,70% ^Elevated^,Elevated,142,Red,56,51,54,57,55,52,56,53,55,55,54,54,53,56,56,10% ^Increasing^,Red,2.48,Yellow
Mississippi,Mississippi 😷,Bruised Red,4988,111,Green,22,22544,72% ^Elevated^,Elevated,66% ^Normal^,Normal,230,Bruised Red,275,363,366,361,344,335,330,330,303,309,295,278,277,275,275,-24% ^Decreasing^,Green,2.95,Yellow
Missouri,Missouri,Bruised Red,8486,92,Yellow,21,40449,60% ^Normal^,Normal,64% ^Normal^,Normal,200,Bruised Red,164,139,145,143,143,143,149,156,156,151,144,147,164,159,164,18% ^Increasing^,Red,1.8,Yellow
Montana,Montana,Red,5130,319,Green,119,4295,64% ^Normal^,Normal,64% ^Normal^,Normal,122,Red,123,88,91,95,95,91,103,104,107,111,117,111,113,120,123,39% ^Increasing^,Red,1.42,Yellow
Nebraska,Nebraska,Bruised Red,2798,96,Yellow,30,9301,59% ^Normal^,Normal,62% ^Normal^,Normal,146,Red,89,75,82,83,81,75,72,72,75,80,87,86,90,87,89,18% ^Increasing^,Red,1.16,Yellow
Nevada,Nevada 😷,Bruised Red,3065,66,Red,20,15590,73% ^Elevated^,Elevated,73% ^Elevated^,Elevated,153,Bruised Red,219,282,293,281,284,262,268,268,250,251,247,236,230,219,219,-22% ^Decreasing^,Green,1.89,Yellow
New Hampshire,New Hampshire,Green,1890,92,Yellow,92,2049,52% ^Normal^,Normal,64% ^Normal^,Normal,15,Green,4,11,9,9,8,8,10,9,8,6,6,7,6,5,4,-60% ^Decreasing^,Green,5.96,Red
New Jersey,New Jersey 😷,Green,26762,200,Green,200,13382,53% ^Normal^,Normal,75% ^Elevated^,Elevated,34,Green,54,53,53,53,49,47,42,46,50,49,48,51,49,49,54,2% ^Increasing^,Red,8.32,Red
New Mexico,New Mexico 😷,Yellow,6766,214,Green,164,4130,58% ^Normal^,Normal,64% ^Normal^,Normal,60,Yellow,32,52,57,53,45,35,31,32,31,32,31,34,32,34,32,-39% ^Decreasing^,Green,3.05,Yellow
New York,New York 😷,Green,82233,281,Green,281,29309,60% ^Normal^,Normal,82% ^Constrained^,Constrained,32,Green,22,27,28,28,27,25,25,24,25,25,25,25,25,24,22,-20% ^Decreasing^,Green,5.83,Red
North Carolina,North Carolina,Bruised Red,23543,149,Green,45,51923,75% ^Elevated^,Elevated,77% ^Elevated^,Elevated,150,Bruised Red,87,93,98,95,98,97,95,86,90,95,96,91,92,92,87,-6% ^Decreasing^,Green,1.62,Yellow
North Dakota,North Dakota,Bruised Red,1297,113,Green,15,8608,39% ^Normal^,Normal,70% ^Normal^,Normal,342,Bruised Red,89,72,62,64,59,71,70,68,67,66,70,80,92,85,89,24% ^Increasing^,Red,1.01,Yellow
Ohio,Ohio 😷,Red,30424,173,Green,87,35169,64% ^Normal^,Normal,70% ^Normal^,Normal,91,Red,66,80,80,76,74,73,68,66,69,67,66,67,68,68,66,-18% ^Decreasing^,Green,3.38,Yellow
Oklahoma,Oklahoma,Bruised Red,7438,125,Green,32,22888,63% ^Normal^,Normal,60% ^Normal^,Normal,175,Bruised Red,144,128,144,143,143,142,146,146,146,140,135,140,141,144,144,13% ^Increasing^,Red,1.38,Yellow
Oregon,Oregon 😷,Yellow,4789,75,Yellow,63,7623,75% ^Elevated^,Elevated,92% ^Constrained^,Constrained,55,Yellow,39,49,51,48,41,41,41,41,34,37,33,41,39,39,39,-19% ^Decreasing^,Green,1.72,Yellow
Pennsylvania,Pennsylvania 😷,Yellow,13769,71,Red,66,21007,77% ^Elevated^,Elevated,84% ^Constrained^,Constrained,50,Yellow,39,44,43,43,43,40,38,39,40,42,42,42,41,40,39,-11% ^Decreasing^,Green,5.75,Red
Rhode Island,Rhode Island 😷,Yellow,4963,311,Green,251,1980,89% ^Severely constrained^,Severely constrained,101% ^Constrained^,Constrained,57,Yellow,76,76,74,77,79,76,82,76,76,82,76,77,76,76,76,1% ^Increasing^,Red,4.82,Yellow
South Carolina,South Carolina,Bruised Red,7220,93,Yellow,24,29870,76% ^Elevated^,Elevated,82% ^Constrained^,Constrained,176,Bruised Red,186,214,217,227,215,210,199,199,190,199,205,195,190,184,186,-13% ^Decreasing^,Green,2.29,Yellow
South Dakota,South Dakota,Bruised Red,1270,95,Yellow,13,9645,52% ^Normal^,Normal,61% ^Normal^,Normal,330,Bruised Red,88,68,77,62,60,57,75,70,73,60,66,85,90,89,88,30% ^Increasing^,Red,1.25,Yellow
Tennessee,Tennessee,Bruised Red,20545,200,Green,47,43268,71% ^Elevated^,Elevated,65% ^Normal^,Normal,192,Bruised Red,130,167,180,180,175,168,161,148,149,161,157,153,148,147,130,-22% ^Decreasing^,Green,1.14,Yellow
Texas,Texas 😷,Bruised Red,36669,84,Yellow,24,154709,76% ^Elevated^,Elevated,70% ^Elevated^,Elevated,162,Bruised Red,144,214,214,206,194,192,182,179,173,169,166,155,153,147,144,-33% ^Decreasing^,Green,2.05,Yellow
Utah,Utah,Red,4382,91,Yellow,34,12912,55% ^Normal^,Normal,59% ^Normal^,Normal,122,Red,42,49,57,49,49,48,46,49,45,45,41,42,40,43,42,-14% ^Decreasing^,Green,0.78,Green
Vermont,Vermont 😷,Green,1890,201,Green,201,940,63% ^Normal^,Normal,64% ^Normal^,Normal,14,Green,21,29,27,19,16,16,24,21,18,21,22,19,18,16,21,-28% ^Decreasing^,Green,3.59,Yellow
Virginia,Virginia,Red,14649,114,Green,46,31968,67% ^Normal^,Normal,64% ^Normal^,Normal,113,Red,128,137,147,146,148,144,135,135,132,138,137,138,129,129,128,-7% ^Decreasing^,Green,2.15,Yellow
Washington,Washington 😷,Yellow,11760,103,Green,94,12545,91% ^Severely constrained^,Severely constrained,92% ^Constrained^,Constrained,50,Yellow,45,51,52,49,51,49,49,49,49,46,47,46,46,45,45,-13% ^Decreasing^,Green,2.56,Yellow
West Virginia,West Virginia,Yellow,4990,185,Green,126,3951,70% ^Elevated^,Elevated,70% ^Elevated^,Elevated,67,Yellow,79,75,74,74,78,81,77,78,79,78,80,81,74,84,79,5% ^Increasing^,Red,2.11,Yellow
Wisconsin,Wisconsin,Red,8464,96,Yellow,35,24019,52% ^Normal^,Normal,62% ^Normal^,Normal,125,Red,49,63,63,67,63,60,60,57,55,58,61,50,53,53,49,-21% ^Decreasing^,Green,1.41,Yellow
Wyoming,Wyoming,Yellow,1486,170,Green,131,1136,46% ^Normal^,Normal,41% ^Normal^,Normal,59,Yellow,26,22,21,21,31,33,33,33,35,31,29,22,26,26,26,15% ^Increasing^,Red,0.97,Green
Puerto Rico,Puerto Rico,Bruised Red,422,9,Bruised Red,3,13917,56% ^Normal^,Normal,56% ^Normal^,Normal,132,Red,114,125,123,113,122,123,126,116,114,122,124,126,128,114,114,-9% ^Decreasing^,Green,1.32,Yellow
United States,United States,Red,718178,144,Green,53,1357634,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,124,Red,108,131,132,131,127,123,120,118,117,117,116,113,112,110,108,-18% ^Decreasing^,Green,2.94,Yellow
