STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Minnesota,Minnesota,Red,9571,113,Green,47,20342,68% ^Normal^,Normal,59% ^Normal^,Normal,109,Red,55,53,55,55,57,60,59,55,56,54,51,51,54,57,55,3% ^Increasing^,Red,2.66,Yellow
Mississippi,Mississippi 😷,Bruised Red,2743,61,Red,11,25754,73% ^Elevated^,Elevated,54% ^Normal^,Normal,262,Bruised Red,344,382,387,387,361,374,386,382,372,378,378,363,366,361,344,-10% ^Decreasing^,Green,2.9,Yellow
Missouri,Missouri,Bruised Red,10645,115,Green,28,37413,58% ^Normal^,Normal,44% ^Normal^,Normal,185,Bruised Red,143,152,151,146,150,150,140,144,144,142,145,139,145,143,143,-6% ^Decreasing^,Green,1.98,Yellow
Montana,Montana,Red,1391,86,Yellow,44,3135,55% ^Normal^,Normal,61% ^Normal^,Normal,89,Red,95,79,76,78,75,72,91,95,80,84,84,88,91,95,95,20% ^Increasing^,Red,1.47,Yellow
Nebraska,Nebraska,Red,2966,102,Green,35,8467,54% ^Normal^,Normal,45% ^Normal^,Normal,133,Red,81,78,81,76,75,84,81,79,76,75,74,75,82,83,81,3% ^Increasing^,Red,1.2,Yellow
Nevada,Nevada 😷,Bruised Red,3974,86,Yellow,17,23260,68% ^Normal^,Normal,71% ^Elevated^,Elevated,229,Bruised Red,284,336,317,317,329,315,324,319,308,306,306,282,293,281,284,-16% ^Decreasing^,Green,1.84,Yellow
New Hampshire,New Hampshire,Yellow,1152,56,Red,56,2049,46% ^Normal^,Normal,59% ^Normal^,Normal,14,Green,8,15,18,17,15,15,13,11,11,11,10,11,9,9,8,-48% ^Decreasing^,Green,6.07,Red
New Jersey,New Jersey 😷,Green,25931,194,Green,194,13382,54% ^Normal^,Normal,73% ^Elevated^,Elevated,31,Green,49,62,61,54,61,61,67,61,58,59,51,53,53,53,49,-21% ^Decreasing^,Green,8.45,Red
New Mexico,New Mexico 😷,Yellow,7143,226,Green,133,5351,62% ^Normal^,Normal,65% ^Normal^,Normal,77,Yellow,35,66,63,61,58,61,64,57,61,60,54,52,57,45,35,-46% ^Decreasing^,Green,3.06,Yellow
New York,New York 😷,Green,76715,262,Green,262,29309,57% ^Normal^,Normal,70% ^Normal^,Normal,32,Green,27,30,29,28,28,28,29,29,28,27,27,27,28,28,27,-11% ^Decreasing^,Green,5.91,Red
North Carolina,North Carolina,Red,21803,138,Green,51,42806,73% ^Elevated^,Elevated,71% ^Elevated^,Elevated,124,Red,98,107,108,106,106,107,101,102,100,98,89,93,98,95,98,-9% ^Decreasing^,Green,1.64,Yellow
North Dakota,North Dakota,Bruised Red,1392,121,Green,28,5049,38% ^Normal^,Normal,60% ^Normal^,Normal,201,Bruised Red,59,63,64,62,63,72,76,77,85,72,71,72,62,64,59,-6% ^Decreasing^,Green,1.21,Yellow
Ohio,Ohio 😷,Red,22579,128,Green,73,31006,61% ^Normal^,Normal,64% ^Normal^,Normal,80,Red,74,82,80,81,83,83,84,81,79,77,78,80,80,76,74,-10% ^Decreasing^,Green,3.51,Yellow
Oklahoma,Oklahoma,Bruised Red,8517,143,Green,40,21525,61% ^Normal^,Normal,58% ^Normal^,Normal,165,Bruised Red,143,142,150,150,150,134,131,152,143,128,128,128,144,143,143,1% ^Increasing^,Red,1.4,Yellow
Oregon,Oregon 😷,Yellow,5586,88,Yellow,64,8792,70% ^Normal^,Normal,75% ^Elevated^,Elevated,63,Yellow,41,48,48,48,51,55,51,55,53,53,53,49,51,48,41,-14% ^Decreasing^,Green,1.7,Yellow
Pennsylvania,Pennsylvania 😷,Yellow,14574,76,Yellow,64,22718,66% ^Normal^,Normal,69% ^Normal^,Normal,54,Yellow,43,51,50,47,46,47,47,47,46,45,44,44,43,43,43,-16% ^Decreasing^,Green,5.94,Red
Rhode Island,Rhode Island 😷,Red,4053,254,Green,136,2975,86% ^Severely constrained^,Severely constrained,95% ^Constrained^,Constrained,85,Red,79,79,77,88,88,83,84,76,75,80,76,76,74,77,79,0% ^Decreasing^,Green,4.93,Yellow
South Carolina,South Carolina,Bruised Red,12396,160,Green,49,25509,74% ^Elevated^,Elevated,72% ^Elevated^,Elevated,150,Bruised Red,215,275,272,268,263,258,265,257,252,242,225,214,217,227,215,-22% ^Decreasing^,Green,2.2,Yellow
South Dakota,South Dakota,Bruised Red,1048,79,Yellow,28,3743,44% ^Normal^,Normal,35% ^Normal^,Normal,128,Red,60,53,54,62,71,64,67,63,73,71,75,68,77,62,60,13% ^Increasing^,Red,1.47,Yellow
Tennessee,Tennessee,Bruised Red,23483,228,Green,47,50273,71% ^Elevated^,Elevated,66% ^Normal^,Normal,223,Bruised Red,175,206,204,189,171,202,190,192,185,191,168,167,180,180,175,-15% ^Decreasing^,Green,1.07,Yellow
Texas,Texas 😷,Bruised Red,45187,103,Green,20,230925,75% ^Elevated^,Elevated,71% ^Elevated^,Elevated,241,Bruised Red,194,278,271,256,252,249,242,237,229,224,216,214,214,206,194,-30% ^Decreasing^,Green,1.92,Yellow
Utah,Utah,Red,4450,92,Yellow,37,12059,56% ^Normal^,Normal,51% ^Normal^,Normal,114,Red,49,73,69,70,69,65,74,64,59,58,64,49,57,49,49,-33% ^Decreasing^,Green,0.79,Green
Vermont,Vermont 😷,Green,1393,148,Green,148,940,53% ^Normal^,Normal,32% ^Normal^,Normal,12,Green,16,10,13,10,18,19,14,22,21,22,27,29,27,19,16,67% ^Increasing^,Red,3.77,Yellow
Virginia,Virginia,Red,16689,130,Green,57,29511,63% ^Normal^,Normal,55% ^Normal^,Normal,105,Red,148,161,147,141,147,151,150,147,152,149,139,137,147,146,148,-8% ^Decreasing^,Green,2.21,Yellow
Washington,Washington 😷,Bruised Red,570,5,Bruised Red,3,18796,84% ^Constrained^,Constrained,81% ^Constrained^,Constrained,75,Yellow,51,53,54,53,53,51,50,52,53,51,52,51,52,49,51,-5% ^Decreasing^,Green,2.65,Yellow
West Virginia,West Virginia,Yellow,5457,202,Green,139,3918,72% ^Elevated^,Elevated,69% ^Normal^,Normal,66,Yellow,78,68,68,69,69,73,75,71,75,74,73,75,74,74,78,15% ^Increasing^,Red,1.85,Yellow
Wisconsin,Wisconsin,Red,9054,103,Green,36,24896,52% ^Normal^,Normal,58% ^Normal^,Normal,130,Red,63,51,53,61,71,63,63,63,58,58,57,63,63,67,63,24% ^Increasing^,Red,1.47,Yellow
Wyoming,Wyoming,Red,658,75,Yellow,40,1645,43% ^Normal^,Normal,39% ^Normal^,Normal,86,Red,31,29,29,29,26,26,26,24,22,22,22,22,21,21,31,6% ^Increasing^,Red,0.98,Green
Puerto Rico,Puerto Rico,Bruised Red,528,11,Bruised Red,3,17429,58% ^Normal^,Normal,54% ^Normal^,Normal,165,Bruised Red,122,138,125,133,132,137,140,146,134,127,123,125,123,113,122,-11% ^Decreasing^,Green,1.3,Yellow
United States,United States,Red,715266,143,Green,47,1515827,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,139,Red,127,154,150,148,147,146,145,142,138,135,133,131,132,131,127,-18% ^Decreasing^,Green,3.0,Yellow
