STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Hawaii,Hawaii,Red,0.3% ^0.0% - 0.6%^,3518,165,Green,88,3984,58% ^Normal^,Normal,67% ^Normal^,Normal,85,Red,159,210,203,195,196,187,187,187,187,182,170,170,155,155,159,-24% ^Decreasing^,Green,0.93,Green
Idaho,Idaho,Bruised Red,0.9% ^0.5% - 1.3%^,1489,55,Red,20,7599,46% ^Normal^,Normal,45% ^Normal^,Normal,129,Red,92,91,91,96,96,84,84,84,64,64,88,88,92,92,92,2% ^Increasing^,Red,1.18,Yellow
Illinois,Illinois 😷,Red,0.6% ^0.5% - 0.8%^,46374,243,Green,82,56336,49% ^Normal^,Normal,57% ^Normal^,Normal,135,Red,113,119,126,128,128,122,119,117,119,125,127,128,119,112,113,-5% ^Decreasing^,Green,3.23,Yellow
Indiana,Indiana 😷,Red,0.8% ^0.6% - 1.0%^,14389,142,Green,50,28974,57% ^Normal^,Normal,56% ^Normal^,Normal,130,Red,125,126,132,127,128,115,112,115,125,113,124,120,120,109,125,0% ^Decreasing^,Green,3.23,Yellow
Iowa,Iowa,Bruised Red,1.0% ^0.7% - 1.4%^,4399,93,Yellow,22,19762,60% ^Normal^,Normal,54% ^Normal^,Normal,190,Bruised Red,86,99,98,102,100,100,98,99,103,102,96,89,92,87,86,-13% ^Decreasing^,Green,1.68,Yellow
Kansas,Kansas 😷,Bruised Red,0.7% ^0.4% - 1.0%^,3099,71,Red,22,14072,59% ^Normal^,Normal,54% ^Normal^,Normal,146,Red,66,72,115,115,108,108,108,61,61,109,109,48,48,48,66,-9% ^Decreasing^,Green,1.07,Yellow
Kentucky,Kentucky 😷,Red,0.5% ^0.3% - 0.7%^,18192,270,Green,91,19885,78% ^Elevated^,Elevated,62% ^Normal^,Normal,135,Red,113,124,132,127,128,120,120,113,114,125,126,123,131,131,113,-9% ^Decreasing^,Green,1.86,Yellow
Louisiana,Louisiana 😷,Red,0.8% ^0.6% - 1.1%^,16439,235,Green,73,22671,64% ^Normal^,Normal,62% ^Normal^,Normal,148,Red,143,196,188,183,174,174,170,169,172,168,164,156,156,146,143,-27% ^Decreasing^,Green,3.31,Yellow
Maine,Maine 😷,Green,0.4% ^0.1% - 0.6%^,4821,238,Green,238,2025,66% ^Normal^,Normal,61% ^Normal^,Normal,21,Green,7,7,8,7,7,4,4,6,5,7,8,7,7,8,7,0% ^Decreasing^,Green,2.77,Yellow
Maryland,Maryland 😷,Red,0.3% ^0.1% - 0.4%^,8525,94,Yellow,48,17740,70% ^Normal^,Normal,75% ^Elevated^,Elevated,89,Red,57,64,61,63,65,58,56,60,60,61,59,61,60,58,57,-10% ^Decreasing^,Green,3.29,Yellow
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.2% - 0.4%^,44353,424,Green,411,10791,50% ^Normal^,Normal,78% ^Elevated^,Elevated,47,Yellow,43,46,44,45,48,47,45,46,47,49,51,47,48,45,43,-6% ^Decreasing^,Green,7.37,Red
Michigan,Michigan 😷,Red,0.5% ^0.3% - 0.6%^,28487,189,Green,103,27739,70% ^Normal^,Normal,68% ^Normal^,Normal,84,Red,59,63,63,62,62,62,62,62,62,62,63,63,63,63,59,-6% ^Decreasing^,Green,5.57,Red
Minnesota,Minnesota,Red,0.5% ^0.3% - 0.7%^,6526,77,Yellow,37,17556,68% ^Normal^,Normal,63% ^Normal^,Normal,94,Red,41,52,53,48,49,49,50,49,46,47,46,45,44,43,41,-21% ^Decreasing^,Green,2.32,Yellow
Mississippi,Mississippi 😷,Bruised Red,1.0% ^0.7% - 1.4%^,3965,88,Yellow,29,13615,72% ^Elevated^,Elevated,62% ^Normal^,Normal,139,Red,172,268,288,273,265,255,255,255,255,229,224,183,182,182,172,-36% ^Decreasing^,Green,3.01,Yellow
Missouri,Missouri,Bruised Red,1.0% ^0.7% - 1.2%^,12975,140,Green,28,45912,62% ^Normal^,Normal,55% ^Normal^,Normal,227,Bruised Red,165,148,152,152,152,152,152,152,152,152,152,152,169,158,165,11% ^Increasing^,Red,1.65,Yellow
Montana,Montana,Red,0.6% ^0.3% - 1.0%^,2678,166,Green,72,3729,62% ^Normal^,Normal,73% ^Elevated^,Elevated,106,Red,135,131,140,141,140,141,146,153,151,153,153,133,135,136,135,3% ^Increasing^,Red,1.52,Yellow
Nebraska,Nebraska,Bruised Red,1.0% ^0.6% - 1.4%^,3786,130,Green,33,11545,54% ^Normal^,Normal,54% ^Normal^,Normal,181,Bruised Red,87,83,84,89,84,90,91,90,89,93,94,92,86,84,87,5% ^Increasing^,Red,1.13,Yellow
Nevada,Nevada 😷,Red,0.7% ^0.4% - 1.1%^,3176,68,Red,36,8707,69% ^Normal^,Normal,69% ^Normal^,Normal,86,Red,154,209,219,205,198,194,194,194,175,179,168,155,155,155,154,-26% ^Decreasing^,Green,1.97,Yellow
New Hampshire,New Hampshire,Yellow,0.2% ^0.0% - 0.3%^,1360,66,Red,66,2049,49% ^Normal^,Normal,60% ^Normal^,Normal,25,Green,5,6,6,7,7,7,7,5,5,5,5,5,4,5,5,-13% ^Decreasing^,Green,5.65,Red
New Jersey,New Jersey 😷,Yellow,0.2% ^0.1% - 0.3%^,19349,145,Green,145,13382,48% ^Normal^,Normal,72% ^Elevated^,Elevated,41,Yellow,47,52,58,57,52,44,45,44,47,48,49,54,52,50,47,-9% ^Decreasing^,Green,8.14,Red
New Mexico,New Mexico 😷,Yellow,0.3% ^0.1% - 0.5%^,4473,142,Green,142,3159,54% ^Normal^,Normal,58% ^Normal^,Normal,45,Yellow,28,31,34,34,36,33,32,31,31,32,37,38,35,32,28,-9% ^Decreasing^,Green,3.08,Yellow
New York,New York 😷,Green,0.4% ^0.3% - 0.5%^,75220,257,Green,257,29309,58% ^Normal^,Normal,67% ^Normal^,Normal,36,Green,24,22,23,22,22,22,21,21,23,24,25,24,24,24,24,7% ^Increasing^,Red,5.71,Red
North Carolina,North Carolina,Red,0.6% ^0.4% - 0.7%^,25034,158,Green,68,37064,64% ^Normal^,Normal,68% ^Normal^,Normal,107,Red,85,90,82,82,91,79,79,73,79,87,88,89,83,79,85,-5% ^Decreasing^,Green,1.65,Yellow
North Dakota,North Dakota,Bruised Red,0.7% ^0.2% - 1.2%^,5310,463,Green,55,9589,48% ^Normal^,Normal,59% ^Normal^,Normal,381,Bruised Red,85,81,87,67,88,88,84,89,83,70,81,84,73,81,85,5% ^Increasing^,Red,0.85,Green
Ohio,Ohio 😷,Red,0.5% ^0.4% - 0.6%^,28177,160,Green,84,33698,63% ^Normal^,Normal,63% ^Normal^,Normal,87,Red,57,66,64,63,62,61,59,59,59,60,58,56,54,54,57,-14% ^Decreasing^,Green,3.19,Yellow
Oklahoma,Oklahoma,Bruised Red,0.9% ^0.7% - 1.2%^,9442,158,Green,33,28300,61% ^Normal^,Normal,55% ^Normal^,Normal,217,Bruised Red,126,135,138,136,131,119,119,119,119,117,130,129,126,126,126,-7% ^Decreasing^,Green,1.29,Yellow
Oregon,Oregon 😷,Yellow,0.4% ^0.2% - 0.6%^,3805,60,Red,60,6354,58% ^Normal^,Normal,67% ^Normal^,Normal,44,Yellow,32,31,33,32,35,35,35,35,36,35,38,38,38,38,32,2% ^Increasing^,Red,1.73,Yellow
Pennsylvania,Pennsylvania 😷,Red,0.3% ^0.2% - 0.4%^,11633,60,Red,47,24514,71% ^Elevated^,Elevated,68% ^Normal^,Normal,58,Yellow,37,41,43,41,39,39,38,39,40,38,38,38,37,36,37,-11% ^Decreasing^,Green,5.42,Red
Rhode Island,Rhode Island 😷,Yellow,0.6% ^0.2% - 1.1%^,7792,488,Green,296,2631,80% ^Elevated^,Elevated,97% ^Constrained^,Constrained,75,Yellow,76,76,74,64,72,77,75,69,69,77,72,76,76,76,76,-1% ^Decreasing^,Green,4.65,Yellow
South Carolina,South Carolina,Bruised Red,0.7% ^0.5% - 0.9%^,11252,145,Green,34,33344,73% ^Elevated^,Elevated,74% ^Elevated^,Elevated,196,Bruised Red,142,174,173,177,177,164,153,153,149,156,165,157,157,146,142,-18% ^Decreasing^,Green,2.32,Yellow
South Dakota,South Dakota,Bruised Red,1.2% ^0.5% - 1.8%^,1292,97,Yellow,18,7076,45% ^Normal^,Normal,56% ^Normal^,Normal,242,Bruised Red,124,88,87,86,101,97,92,88,77,86,94,111,123,124,124,41% ^Increasing^,Red,1.1,Yellow
Tennessee,Tennessee,Bruised Red,0.7% ^0.5% - 0.9%^,21153,205,Green,49,43206,68% ^Normal^,Normal,65% ^Normal^,Normal,192,Bruised Red,122,152,158,155,152,146,142,139,144,155,152,141,138,120,122,-20% ^Decreasing^,Green,1.2,Yellow
Texas,Texas 😷,Red,0.7% ^0.6% - 0.8%^,32734,75,Yellow,36,89873,72% ^Elevated^,Elevated,68% ^Normal^,Normal,94,Red,114,143,143,141,134,137,128,122,128,124,123,119,116,114,114,-20% ^Decreasing^,Green,2.15,Yellow
Utah,Utah,Bruised Red,0.6% ^0.4% - 0.9%^,4277,89,Yellow,27,16052,56% ^Normal^,Normal,51% ^Normal^,Normal,152,Bruised Red,53,45,46,43,45,47,47,47,44,43,51,53,55,56,53,17% ^Increasing^,Red,0.75,Green
Vermont,Vermont 😷,Green,0.5% ^0.1% - 1.0%^,784,83,Yellow,83,940,50% ^Normal^,Normal,55% ^Normal^,Normal,10,Green,5,10,3,5,3,6,6,3,6,8,8,6,6,2,5,-50% ^Decreasing^,Green,3.42,Yellow
Virginia,Virginia,Red,0.5% ^0.4% - 0.7%^,13890,108,Green,42,33000,66% ^Normal^,Normal,59% ^Normal^,Normal,117,Red,118,122,131,132,129,129,127,124,123,126,128,131,117,119,118,-3% ^Decreasing^,Green,2.04,Yellow
Washington,Washington 😷,Yellow,0.4% ^0.3% - 0.6%^,12988,113,Green,95,13686,61% ^Normal^,Normal,56% ^Normal^,Normal,54,Yellow,32,43,43,41,41,38,37,36,36,38,37,35,35,33,32,-25% ^Decreasing^,Green,2.5,Yellow
West Virginia,West Virginia,Red,0.6% ^0.3% - 0.8%^,3750,139,Green,64,5869,69% ^Normal^,Normal,62% ^Normal^,Normal,99,Red,84,79,81,81,85,86,83,83,85,82,79,82,81,82,84,7% ^Increasing^,Red,2.15,Yellow
Wisconsin,Wisconsin,Bruised Red,0.4% ^0.3% - 0.6%^,7912,90,Yellow,20,40397,50% ^Normal^,Normal,56% ^Normal^,Normal,210,Bruised Red,54,51,49,49,52,47,47,50,51,52,52,56,56,55,54,6% ^Increasing^,Red,1.28,Yellow
Wyoming,Wyoming,Red,0.9% ^0.3% - 1.6%^,1523,175,Green,90,1697,37% ^Normal^,Normal,35% ^Normal^,Normal,89,Red,22,22,24,26,26,26,26,26,29,21,21,21,21,21,22,0% ^Decreasing^,Green,1.05,Yellow
Puerto Rico,Puerto Rico,Bruised Red,,339,7,Bruised Red,3,11196,58% ^Normal^,Normal,52% ^Normal^,Normal,106,Red,130,123,117,109,120,116,118,116,119,125,132,126,132,124,130,6% ^Increasing^,Red,1.44,Yellow
United States,United States,Red,,716956,144,Green,63,1139994,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,104,Red,90,106,107,104,103,101,97,96,97,98,98,95,92,90,90,-16% ^Decreasing^,Green,2.86,Yellow
