STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Oregon,Oregon 😷,Yellow,4842,76,Yellow,66,7345,79% ^Elevated^,Elevated,96% ^Constrained^,Constrained,53,Yellow,32,51,48,41,41,41,41,34,37,33,41,39,39,39,32,-36% ^Decreasing^,Green,1.72,Yellow
Pennsylvania,Pennsylvania 😷,Yellow,13626,71,Red,64,21455,77% ^Elevated^,Elevated,83% ^Constrained^,Constrained,51,Yellow,39,43,43,43,40,38,39,40,42,42,42,41,40,39,39,-8% ^Decreasing^,Green,5.73,Red
Rhode Island,Rhode Island 😷,Red,7249,454,Green,238,3050,88% ^Severely constrained^,Severely constrained,100% ^Constrained^,Constrained,87,Red,73,74,77,79,76,82,76,76,82,76,77,76,76,73,73,-1% ^Decreasing^,Green,4.77,Yellow
South Carolina,South Carolina,Bruised Red,7582,98,Yellow,25,30365,76% ^Elevated^,Elevated,83% ^Constrained^,Constrained,179,Bruised Red,181,217,227,215,210,199,199,190,199,205,195,190,184,186,181,-16% ^Decreasing^,Green,2.29,Yellow
South Dakota,South Dakota,Bruised Red,1295,97,Yellow,13,9825,51% ^Normal^,Normal,61% ^Normal^,Normal,337,Bruised Red,86,77,62,60,57,75,70,73,60,66,85,90,89,88,86,12% ^Increasing^,Red,1.24,Yellow
Tennessee,Tennessee,Bruised Red,20235,197,Green,42,48694,70% ^Elevated^,Elevated,67% ^Normal^,Normal,216,Bruised Red,133,180,180,175,168,161,148,149,161,157,153,148,147,130,133,-26% ^Decreasing^,Green,1.13,Yellow
Texas,Texas 😷,Bruised Red,41525,95,Yellow,27,153615,76% ^Elevated^,Elevated,69% ^Normal^,Normal,161,Bruised Red,145,214,206,194,192,182,179,173,169,166,155,153,147,144,145,-32% ^Decreasing^,Green,2.05,Yellow
Utah,Utah,Red,4786,99,Green,37,12931,56% ^Normal^,Normal,58% ^Normal^,Normal,122,Red,45,57,49,49,48,46,49,45,45,41,42,40,43,42,45,-22% ^Decreasing^,Green,0.78,Green
Vermont,Vermont 😷,Green,2047,218,Green,218,940,65% ^Normal^,Normal,63% ^Normal^,Normal,13,Green,13,27,19,16,16,24,21,18,21,22,19,18,16,21,13,-53% ^Decreasing^,Green,3.57,Yellow
Virginia,Virginia,Red,14653,114,Green,45,32830,69% ^Normal^,Normal,64% ^Normal^,Normal,117,Red,127,147,146,148,144,135,135,132,138,137,138,129,129,128,127,-14% ^Decreasing^,Green,2.14,Yellow
Washington,Washington 😷,Yellow,11615,101,Green,93,12441,96% ^Severely constrained^,Severely constrained,91% ^Constrained^,Constrained,50,Yellow,45,52,49,51,49,49,49,49,46,47,46,46,45,45,45,-14% ^Decreasing^,Green,2.56,Yellow
West Virginia,West Virginia,Yellow,5342,198,Green,121,4422,72% ^Elevated^,Elevated,70% ^Normal^,Normal,75,Yellow,78,74,74,78,81,77,78,79,78,80,81,74,84,79,78,5% ^Increasing^,Red,2.09,Yellow
Wisconsin,Wisconsin,Red,8312,95,Yellow,36,23331,53% ^Normal^,Normal,62% ^Normal^,Normal,121,Red,49,63,67,63,60,60,57,55,58,61,50,53,53,49,49,-22% ^Decreasing^,Green,1.4,Yellow
Wyoming,Wyoming,Yellow,1464,168,Green,130,1127,49% ^Normal^,Normal,44% ^Normal^,Normal,59,Yellow,28,21,21,31,33,33,33,35,31,29,22,26,26,26,28,33% ^Increasing^,Red,0.96,Green
Puerto Rico,Puerto Rico,Bruised Red,369,8,Bruised Red,3,12168,61% ^Normal^,Normal,59% ^Normal^,Normal,115,Red,120,123,113,122,123,126,116,114,122,124,126,128,114,114,120,-2% ^Decreasing^,Green,1.31,Yellow
United States,United States,Red,719522,144,Green,54,1343694,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,123,Red,107,132,131,127,123,120,118,117,117,116,113,112,110,108,107,-19% ^Decreasing^,Green,2.93,Yellow
