STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Illinois,Illinois 😷,Red,0.6% ^0.5% - 0.7%^,40719,213,Green,67,61069,55% ^Normal^,Normal,66% ^Normal^,Normal,146,Red,128,120,117,114,121,122,124,129,122,123,116,118,119,126,128,6% ^Increasing^,Red,3.44,Yellow
Indiana,Indiana 😷,Red,0.6% ^0.5% - 0.8%^,9756,96,Yellow,33,29936,62% ^Normal^,Normal,62% ^Normal^,Normal,135,Red,127,128,131,133,135,147,141,131,129,131,131,131,126,132,127,0% ^Decreasing^,Green,3.44,Yellow
Iowa,Iowa,Bruised Red,0.9% ^0.6% - 1.1%^,4731,100,Green,17,27046,59% ^Normal^,Normal,62% ^Normal^,Normal,260,Bruised Red,102,93,85,82,87,94,99,97,95,100,98,95,99,98,102,10% ^Increasing^,Red,1.73,Yellow
Kansas,Kansas 😷,Bruised Red,0.9% ^0.6% - 1.2%^,3450,79,Yellow,18,18871,63% ^Normal^,Normal,57% ^Normal^,Normal,196,Bruised Red,115,102,102,102,65,65,90,90,113,113,113,72,72,115,115,14% ^Increasing^,Red,1.04,Yellow
Kentucky,Kentucky 😷,Bruised Red,0.7% ^0.5% - 1.0%^,7363,109,Green,32,23133,79% ^Elevated^,Elevated,68% ^Normal^,Normal,157,Bruised Red,127,132,132,132,126,133,133,128,128,128,128,125,124,132,127,-4% ^Decreasing^,Green,1.92,Yellow
Louisiana,Louisiana 😷,Bruised Red,0.8% ^0.5% - 1.0%^,14000,200,Green,59,23637,66% ^Normal^,Normal,66% ^Normal^,Normal,154,Bruised Red,183,226,226,202,202,200,197,188,194,194,194,190,196,188,183,-19% ^Decreasing^,Green,3.33,Yellow
Maine,Maine 😷,Green,0.5% ^0.2% - 0.7%^,5018,248,Green,248,2025,71% ^Elevated^,Elevated,70% ^Elevated^,Elevated,22,Green,7,5,3,3,4,6,6,7,7,6,5,4,7,8,7,29% ^Increasing^,Red,2.88,Yellow
Maryland,Maryland 😷,Red,0.3% ^0.2% - 0.5%^,11789,129,Green,63,18617,72% ^Elevated^,Elevated,80% ^Constrained^,Constrained,93,Red,63,75,73,67,67,68,71,68,68,64,59,62,64,61,63,-16% ^Decreasing^,Green,3.43,Yellow
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.1% - 0.4%^,20543,196,Green,196,10470,53% ^Normal^,Normal,71% ^Elevated^,Elevated,45,Yellow,45,46,45,45,44,47,51,48,45,44,42,45,46,44,45,-3% ^Decreasing^,Green,7.47,Red
Michigan,Michigan 😷,Yellow,0.5% ^0.3% - 0.6%^,28374,189,Green,123,23095,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,70,Yellow,62,65,65,65,64,64,64,67,67,67,67,63,63,63,62,-5% ^Decreasing^,Green,5.89,Red
Minnesota,Minnesota,Red,0.6% ^0.4% - 0.7%^,9271,109,Green,34,27027,74% ^Elevated^,Elevated,70% ^Normal^,Normal,145,Red,48,52,56,53,55,55,54,54,53,56,56,54,52,53,48,-8% ^Decreasing^,Green,2.42,Yellow
Mississippi,Mississippi 😷,Bruised Red,1.2% ^0.9% - 1.6%^,4278,95,Yellow,21,20842,72% ^Elevated^,Elevated,66% ^Normal^,Normal,212,Bruised Red,273,335,330,330,303,309,295,278,277,275,275,269,268,288,273,-19% ^Decreasing^,Green,2.98,Yellow
Missouri,Missouri,Bruised Red,0.7% ^0.5% - 0.8%^,9294,101,Green,22,42598,66% ^Normal^,Normal,61% ^Normal^,Normal,210,Bruised Red,152,143,149,156,156,151,144,147,164,159,164,148,148,152,152,7% ^Increasing^,Red,1.74,Yellow
Montana,Montana,Red,0.8% ^0.4% - 1.2%^,2143,133,Green,48,4441,63% ^Normal^,Normal,61% ^Normal^,Normal,126,Red,141,91,103,104,107,111,117,111,113,120,123,125,131,140,141,56% ^Increasing^,Red,1.41,Yellow
Nebraska,Nebraska,Bruised Red,0.9% ^0.5% - 1.2%^,2913,100,Green,27,10692,58% ^Normal^,Normal,64% ^Normal^,Normal,167,Bruised Red,89,75,72,72,75,80,87,86,90,87,89,89,83,84,89,18% ^Increasing^,Red,1.14,Yellow
Nevada,Nevada 😷,Bruised Red,0.7% ^0.4% - 1.0%^,3005,65,Red,21,14157,72% ^Elevated^,Elevated,73% ^Elevated^,Elevated,139,Red,205,262,268,268,250,251,247,236,230,219,219,216,209,219,205,-22% ^Decreasing^,Green,1.94,Yellow
New Hampshire,New Hampshire,Green,0.2% ^0.0% - 0.4%^,1694,83,Yellow,83,2049,51% ^Normal^,Normal,64% ^Normal^,Normal,16,Green,7,8,10,9,8,6,6,7,6,5,4,4,6,6,7,-9% ^Decreasing^,Green,5.88,Red
