STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00,COVID+ RATE IS1
Michigan,Michigan 😷,Yellow,Increasing,11% ^Increasing^,11,104091,742,688,656,640,533,685,683,700,749,764,786,894,729,743,745,703,696,699,694,709,705,720,685,743,751,799,790,778,741,772,Minimal ^Level 1^,Green,30478,120,72% ^Elevated^,60% ^Normal^,1.0 ^0.9 - 1.1^,91.0,9.0,10.57,9.0,8.86,9.0,8.86,8.71,7.0,6.0,9.43,10.43,9.43,10.71,11.29,2.4% ^Decreasing^
Minnesota,Minnesota,Red,Decreasing,-13% ^Decreasing^,-13,66618,612,603,625,639,689,707,671,689,712,710,711,700,685,680,697,690,707,675,702,707,708,668,646,622,648,616,608,600,603,616,Minimal ^Level 1^,Green,9734,48,68% ^Normal^,59% ^Normal^,0.9 ^0.8 - 1.0^,72.0,6.14,5.86,6.14,6.29,6.43,6.71,7.71,7.71,8.29,8.0,7.71,8.14,8.57,8.57,7.4% ^Flat^
Mississippi,Mississippi 😷,Bruised Red,Decreasing,-24% ^Decreasing^,-24,74555,1140,1215,1179,1262,1322,1381,1295,1254,1248,1361,1298,1255,1178,1167,1129,1091,974,956,966,946,932,871,847,798,785,730,709,680,702,740,Minimal ^Level 1^,Green,2703,11,73% ^Elevated^,54% ^Normal^,0.8 ^0.7 - 0.9^,67.0,30.57,26.43,25.86,27.57,28.71,27.29,26.43,26.57,27.86,29.43,26.86,26.14,26.29,24.86,23.4% ^Increasing^
Missouri,Missouri,Bruised Red,Increasing,8% ^Increasing^,8,70675,848,907,1040,1152,1209,1262,1347,1437,1527,1591,1567,1507,1416,1405,1322,1224,1078,1008,874,791,1010,979,1030,1059,1127,1288,1442,1238,1212,1164,Minimal ^Level 2^,Green,10888,28,58% ^Normal^,44% ^Normal^,1.0 ^0.9 - 1.1^,40.0,6.71,8.29,6.86,6.86,7.43,6.57,7.29,6.43,4.86,6.43,9.43,12.71,12.86,13.0,10.6% ^Decreasing^
Montana,Montana,Red,Decreasing,-13% ^Decreasing^,-13,5956,109,102,97,96,113,116,109,109,123,129,132,117,122,122,120,108,113,113,115,108,112,113,120,115,112,110,114,111,106,98,Minimal ^Level 1^,Green,1500,46,55% ^Normal^,61% ^Normal^,0.9 ^0.7 - 1.1^,40.0,1.43,1.43,2.0,2.0,1.57,1.86,2.14,2.29,1.57,1.0,1.0,1.0,1.0,0.57,6.7% ^Increasing^
Nebraska,Nebraska,Red,Decreasing,-13% ^Decreasing^,-13,30825,207,210,215,241,259,273,291,293,281,277,278,291,285,298,294,289,295,294,270,265,247,249,265,251,263,269,285,277,267,256,Minimal ^Level 1^,Green,2845,34,54% ^Normal^,45% ^Normal^,1.0 ^0.8 - 1.1^,81.0,1.57,1.71,1.86,1.86,1.86,2.29,2.71,3.0,2.86,2.29,2.29,2.29,2.0,2.43,9.5% ^Increasing^
Nevada,Nevada 😷,Bruised Red,Decreasing,-26% ^Decreasing^,-26,63028,1130,1170,1143,1084,1048,1011,1017,1058,1021,986,1029,1037,1052,1053,1035,1003,962,921,906,861,825,763,746,728,745,741,725,714,731,711,Minimal ^Level 1^,Green,4142,18,68% ^Normal^,71% ^Elevated^,0.9 ^0.8 - 1.0^,59.0,14.14,12.86,16.71,17.86,16.57,17.0,15.14,18.57,17.86,17.14,16.43,16.29,17.29,19.71,17.5% ^Decreasing^
New Hampshire,New Hampshire,Yellow,Decreasing,-28% ^Decreasing^,-28,7036,26,24,26,22,36,33,33,36,34,31,32,28,25,28,23,28,29,28,29,31,29,29,28,29,26,23,22,23,22,21,Minimal ^Level 1^,Green,1080,53,46% ^Normal^,59% ^Normal^,0.8 ^0.4 - 1.2^,227.0,1.0,0.57,0.43,0.43,0.29,0.29,0.29,0.57,0.43,0.57,0.57,0.57,0.71,1.0,1.4% ^Decreasing^
New Jersey,New Jersey 😷,Yellow,Decreasing,-9% ^Decreasing^,-9,188427,192,195,198,256,292,369,407,434,446,440,474,453,427,400,382,366,390,343,343,346,345,358,373,413,443,430,383,391,375,356,Minimal ^Level 1^,Green,25957,194,54% ^Normal^,73% ^Elevated^,0.9 ^0.8 - 1.0^,365.0,8.86,9.0,8.71,8.57,7.71,7.86,8.14,8.29,8.14,7.86,7.43,7.43,7.0,5.86,1.4% ^Decreasing^
New Mexico,New Mexico 😷,Yellow,Decreasing,-23% ^Decreasing^,-23,23749,275,286,284,289,288,293,296,327,325,330,318,304,287,282,233,221,204,198,195,188,186,188,186,179,173,171,170,156,151,158,Minimal ^Level 1^,Green,6880,132,62% ^Normal^,65% ^Normal^,0.8 ^0.6 - 0.9^,102.0,5.0,4.86,4.71,4.29,4.43,5.0,5.0,4.0,4.0,4.0,4.29,4.14,4.0,5.14,2.4% ^Decreasing^
