Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200823,CA,663669,73561,18651.0,260163.0,23584.0,1041.0,2498.0,3843.0,53280.0,227048.0,260163.0,176458.0,227048,12134.0,3466.0,935.0,5653.0,1394.0,37.0,53.0,74.0,139.0,383.0,5653.0,6098.0,383.0
20200823,CO,55143,20292,2652.0,21163.0,1124.0,308.0,220.0,738.0,457.0,8183.0,21163.0,25791.0,,1815.0,1136.0,119.0,414.0,57.0,13.0,5.0,25.0,8.0,34.0,414.0,1363.0,34.0
20200823,CT,51519,18072,6808.0,9868.0,735.0,50.0,,174.0,322.0,15490.0,9868.0,26161.0,15490,4460.0,3263.0,659.0,393.0,48.0,2.0,,34.0,20.0,41.0,393.0,4026.0,41.0
20200823,DC,13590,2660,6804.0,,201.0,30.0,36.0,,3563.0,296.0,3380.0,8227.0,1983,604.0,64.0,449.0,77.0,8.0,,,,6.0,0.0,77.0,527.0,0.0
20200823,DE,16895,5874,4389.0,4176.0,226.0,,,,796.0,1434.0,4176.0,11285.0,1434,600.0,365.0,155.0,45.0,1.0,,,,8.0,26.0,45.0,529.0,26.0
20200823,FL,600571,137155,87804.0,168086.0,,,,,36607.0,170919.0,168086.0,220192.0,212293,10462.0,4923.0,1979.0,2543.0,,,,,438.0,579.0,2543.0,6739.0,1180.0
20200823,GA,253949,64336,64728.0,31945.0,3361.0,138.0,257.0,,6910.0,82274.0,31945.0,114547.0,107457,5132.0,2433.0,2206.0,319.0,91.0,4.0,7.0,,25.0,47.0,319.0,4732.0,81.0
20200823,GU,820,123,,,179.0,,306.0,,61.0,151.0,,,,7.0,,,,,,,,,7.0,,,7.0
20200823,HI,6600,381,35.0,,912.0,,1136.0,,103.0,4033.0,,,,47.0,,,,,,,,,47.0,,,
20200823,IA,56329,38305,3943.0,,2253.0,563.0,563.0,,563.0,10139.0,9576.0,37179.0,9576,1036.0,842.0,41.0,,24.0,4.0,12.0,,4.0,104.0,64.0,859.0,111.0
20200823,ID,29853,14260,313.0,,216.0,307.0,81.0,1066.0,3219.0,10391.0,5296.0,10364.0,14192,307.0,288.0,4.0,,2.0,2.0,,,5.0,6.0,35.0,267.0,5.0
20200823,IL,221595,57596,34022.0,62056.0,5355.0,304.0,454.0,,8214.0,53594.0,62056.0,105945.0,53594,8089.0,3579.0,2118.0,1613.0,368.0,11.0,9.0,,52.0,339.0,1613.0,6137.0,130.0
20200823,IN,85932,43187,9412.0,,1006.0,,,,13076.0,19251.0,8386.0,31062.0,46484,3220.0,1945.0,418.0,,17.0,,,,403.0,437.0,64.0,1546.0,1610.0
20200823,KS,36856,24209,2827.0,,1122.0,265.0,,,2047.0,6386.0,11249.0,17347.0,8260,419.0,303.0,69.0,,11.0,3.0,,,18.0,15.0,62.0,335.0,22.0
20200823,KY,43529,23431,3705.0,,516.0,121.0,44.0,1666.0,,14046.0,3569.0,24446.0,15514,881.0,667.0,112.0,,11.0,0.0,,20.0,,71.0,30.0,743.0,108.0
20200823,LA,142943,50666,52296.0,,6796.0,362.0,162.0,,12485.0,20176.0,,,142943,4746.0,2249.0,2143.0,,31.0,4.0,7.0,,20.0,292.0,119.0,4203.0,424.0
20200823,MA,125360,39331,11542.0,25553.0,2636.0,,,,7101.0,39197.0,25553.0,60610.0,39197,8921.0,6728.0,737.0,615.0,226.0,,,,554.0,61.0,615.0,8245.0,61.0
20200823,MD,104102,23333,33320.0,25276.0,1912.0,,,,4550.0,15711.0,25276.0,63115.0,15711,3691.0,1572.0,1508.0,422.0,137.0,,,,38.0,14.0,422.0,3255.0,14.0
20200823,ME,4335,2732,922.0,,108.0,8.0,2.0,32.0,135.0,396.0,184.0,3491.0,660,131.0,114.0,4.0,,0.0,0.0,0.0,0.0,0.0,13.0,0.0,108.0,23.0
20200823,MI,106808,47110,24935.0,,1985.0,446.0,,7162.0,6488.0,18682.0,8544.0,70493.0,27770,6659.0,3508.0,2591.0,,81.0,19.0,,100.0,128.0,232.0,133.0,5526.0,932.0
20200823,MN,69584,29301,14205.0,,4055.0,558.0,114.0,884.0,1270.0,0.0,12549.0,50387.0,0,1813.0,1364.0,173.0,,77.0,32.0,2.0,10.0,9.0,46.0,83.0,1667.0,46.0
