lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
8/4/2020,West Piedmont,119,19,121,21
8/3/2020,Alexandria,248,9,255,9
8/3/2020,Alleghany,117,6,117,6
8/3/2020,Arlington,395,18,407,19
8/3/2020,Central Shenandoah,231,14,233,14
8/3/2020,Central Virginia,214,16,214,16
8/3/2020,Chesapeake,337,43,337,43
8/3/2020,Chesterfield,726,56,729,59
8/3/2020,Chickahominy,240,12,241,13
8/3/2020,Crater,255,22,255,22
8/3/2020,Cumberland Plateau,129,27,129,27
8/3/2020,Eastern Shore,40,0,42,0
8/3/2020,Fairfax,1923,67,1974,72
8/3/2020,Hampton,162,18,163,18
8/3/2020,Henrico,900,55,907,62
8/3/2020,Lenowisco,40,5,41,5
8/3/2020,Lord Fairfax,256,6,257,6
8/3/2020,Loudoun,579,24,590,26
8/3/2020,Mount Rogers,170,17,178,24
8/3/2020,New River,170,20,170,20
8/3/2020,Norfolk,547,53,547,53
8/3/2020,Out of State,366,29,369,30
8/3/2020,Peninsula,484,27,484,27
8/3/2020,Piedmont,68,3,69,4
8/3/2020,Pittsylvania-Danville,184,78,184,78
8/3/2020,Portsmouth,212,28,212,28
8/3/2020,Prince William,887,77,899,80
8/3/2020,Rappahannock,498,36,499,36
8/3/2020,Rappahannock Rapidan,146,10,147,10
8/3/2020,Richmond,447,37,447,37
8/3/2020,Roanoke,383,8,385,8
8/3/2020,Southside,53,5,53,5
8/3/2020,Thomas Jefferson,375,18,382,18
8/3/2020,Three Rivers,194,6,195,6
8/3/2020,Unknown,170,5,173,8
8/3/2020,Virginia Beach,803,55,805,57
8/3/2020,Western Tidewater,255,45,255,45
8/3/2020,West Piedmont,108,8,108,8
8/31/2020,Alexandria,135,9,135,9
8/31/2020,Alleghany,80,6,80,6
8/31/2020,Arlington,229,10,230,10
8/31/2020,Central Shenandoah,261,52,261,52
8/31/2020,Central Virginia,362,40,363,40
8/31/2020,Chesapeake,178,18,178,18
8/31/2020,Chesterfield,334,27,334,27
8/31/2020,Chickahominy,159,21,159,21
8/31/2020,Crater,177,20,177,20
8/31/2020,Cumberland Plateau,38,2,38,2
8/31/2020,Eastern Shore,22,1,22,1
8/31/2020,Fairfax,945,58,948,59
8/31/2020,Hampton,113,6,113,6
8/31/2020,Henrico,384,26,384,26
8/31/2020,Lenowisco,59,7,61,7
8/31/2020,Lord Fairfax,134,9,134,9
8/31/2020,Loudoun,286,24,287,24
8/31/2020,Mount Rogers,103,11,107,15
8/31/2020,New River,86,12,86,12
8/31/2020,Norfolk,308,25,310,25
8/31/2020,Out of State,185,4,186,4
8/31/2020,Peninsula,319,23,320,23
8/31/2020,Piedmont,64,7,64,7
8/31/2020,Pittsylvania-Danville,101,18,101,18
8/31/2020,Portsmouth,124,12,124,12
8/31/2020,Prince William,407,40,408,40
8/31/2020,Rappahannock,225,26,226,27
8/31/2020,Rappahannock Rapidan,144,16,144,16
8/31/2020,Richmond,210,26,210,26
8/31/2020,Roanoke,29,4,29,4
8/31/2020,Southside,31,10,31,10
8/31/2020,Thomas Jefferson,279,15,284,16
8/31/2020,Three Rivers,96,7,97,7
8/31/2020,Unknown,8,0,8,0
8/31/2020,Virginia Beach,446,36,450,37
8/31/2020,Western Tidewater,164,24,164,24
8/31/2020,West Piedmont,69,9,70,10
8/30/2020,Alexandria,224,8,243,11
8/30/2020,Alleghany,68,6,73,6
8/30/2020,Arlington,338,10,354,12
8/30/2020,Central Shenandoah,420,39,424,39
8/30/2020,Central Virginia,590,24,593,24
8/30/2020,Chesapeake,242,20,248,21
8/30/2020,Chesterfield,329,19,349,23
8/30/2020,Chickahominy,159,9,164,11
8/30/2020,Crater,223,23,232,24
8/30/2020,Cumberland Plateau,47,4,51,4
8/30/2020,Eastern Shore,31,3,34,3
8/30/2020,Fairfax,1327,73,1433,82
8/30/2020,Hampton,107,9,110,11
8/30/2020,Henrico,381,25,398,32
8/30/2020,Lenowisco,77,10,80,13
8/30/2020,Lord Fairfax,304,4,312,7
8/30/2020,Loudoun,374,34,408,39
8/30/2020,Mount Rogers,211,18,213,18
8/30/2020,New River,90,11,94,11
8/30/2020,Norfolk,300,38,305,38
8/30/2020,Out of State,364,27,364,27
8/30/2020,Peninsula,380,33,389,34
8/30/2020,Piedmont,114,9,116,9
8/30/2020,Pittsylvania-Danville,107,5,109,5
8/30/2020,Portsmouth,119,11,119,11
8/30/2020,Prince William,504,41,527,43
8/30/2020,Rappahannock,330,19,343,20
8/30/2020,Rappahannock Rapidan,161,10,178,21
8/30/2020,Richmond,226,7,231,7
8/30/2020,Roanoke,455,18,456,18
8/30/2020,Southside,84,8,87,8
8/30/2020,Thomas Jefferson,289,15,300,18
8/30/2020,Three Rivers,235,7,242,7
8/30/2020,Unknown,24,2,24,2
8/30/2020,Virginia Beach,481,28,498,28
8/30/2020,Western Tidewater,332,42,334,42
8/30/2020,West Piedmont,89,6,90,6
8/29/2020,Alexandria,153,4,174,5
8/29/2020,Alleghany,139,12,144,12
